Avr_L: 24.5066    Avr_b: 9.8083   Avr_Chroma: 13.3899 
Avr_L: 18.0790    Avr_b: 7.3364   Avr_Chroma: 10.7805 
Avr_L: 20.4468    Avr_b: 7.1946   Avr_Chroma: 10.9365 
Avr_L: 21.6250    Avr_b: 6.7470   Avr_Chroma: 11.1464 
Avr_L: 22.4761    Avr_b: 6.5520   Avr_Chroma: 11.1610 
Avr_L: 25.2312    Avr_b: 10.9802   Avr_Chroma: 13.9555 
Avr_L: 23.2010    Avr_b: 5.9710   Avr_Chroma: 11.0967 
Avr_L: 26.0894    Avr_b: 10.5027   Avr_Chroma: 13.8287 
Avr_L: 23.1456    Avr_b: 6.3871   Avr_Chroma: 11.4876 
Avr_L: 26.5652    Avr_b: 10.7869   Avr_Chroma: 14.1588 
Avr_L: 21.7595    Avr_b: 6.8116   Avr_Chroma: 11.3971 
Avr_L: 26.8894    Avr_b: 10.8673   Avr_Chroma: 14.1535 
Avr_L: 27.2772    Avr_b: 10.3782   Avr_Chroma: 13.9392 
Avr_L: 26.7570    Avr_b: 10.4292   Avr_Chroma: 14.1182 
Avr_L: 25.5522    Avr_b: 10.4384   Avr_Chroma: 14.1044 
Avr_L: 22.2983    Avr_b: 9.2931   Avr_Chroma: 11.6415 
Avr_L: 23.1955    Avr_b: 9.2176   Avr_Chroma: 11.6237 
Avr_L: 24.3993    Avr_b: 8.6117   Avr_Chroma: 11.4282 
Avr_L: 24.7754    Avr_b: 8.9279   Avr_Chroma: 11.7037 
Avr_L: 25.4133    Avr_b: 8.5523   Avr_Chroma: 11.4226 
Avr_L: 26.0061    Avr_b: 8.7136   Avr_Chroma: 11.5608 
Avr_L: 25.6117    Avr_b: 9.1184   Avr_Chroma: 12.0291 
Avr_L: 18.3287    Avr_b: 7.1027   Avr_Chroma: 11.2253 
Avr_L: 19.4334    Avr_b: 6.3758   Avr_Chroma: 11.3782 
Avr_L: 19.6293    Avr_b: 6.0573   Avr_Chroma: 11.4238 
Avr_L: 18.9772    Avr_b: 6.0420   Avr_Chroma: 10.9578 
Avr_L: 18.9565    Avr_b: 5.7903   Avr_Chroma: 11.0582 
Avr_L: 19.9001    Avr_b: 5.6700   Avr_Chroma: 11.0048 
Avr_L: 20.5465    Avr_b: 9.3808   Avr_Chroma: 12.5103 
Avr_L: 20.4010    Avr_b: 5.3618   Avr_Chroma: 11.0781 
Avr_L: 21.7073    Avr_b: 8.8958   Avr_Chroma: 12.5519 
Avr_L: 22.8259    Avr_b: 8.4572   Avr_Chroma: 12.5060 
Avr_L: 23.3974    Avr_b: 8.1805   Avr_Chroma: 12.5688 
Avr_L: 24.0848    Avr_b: 8.0615   Avr_Chroma: 12.5888 
Avr_L: 23.9896    Avr_b: 8.1412   Avr_Chroma: 12.7888 
Avr_L: 23.5708    Avr_b: 8.4685   Avr_Chroma: 13.0972 
Avr_L: 17.4368    Avr_b: 6.8574   Avr_Chroma: 10.4636 
Avr_L: 18.4077    Avr_b: 6.3928   Avr_Chroma: 10.5021 
Avr_L: 18.7058    Avr_b: 6.1042   Avr_Chroma: 10.5838 
Avr_L: 18.5308    Avr_b: 5.8921   Avr_Chroma: 10.4776 
Avr_L: 18.5268    Avr_b: 5.8444   Avr_Chroma: 10.6693 
Avr_L: 20.7144    Avr_b: 5.8815   Avr_Chroma: 8.8867 
Avr_L: 18.8538    Avr_b: 6.0004   Avr_Chroma: 10.7047 
Avr_L: 21.6552    Avr_b: 5.8623   Avr_Chroma: 8.8929 
Avr_L: 18.8718    Avr_b: 6.2794   Avr_Chroma: 10.6450 
Avr_L: 21.7970    Avr_b: 6.8289   Avr_Chroma: 9.7365 
Avr_L: 22.3212    Avr_b: 5.5767   Avr_Chroma: 9.1029 
Avr_L: 23.2865    Avr_b: 7.1738   Avr_Chroma: 10.2292 
Avr_L: 22.6718    Avr_b: 5.7635   Avr_Chroma: 9.3431 
Avr_L: 24.3803    Avr_b: 6.7390   Avr_Chroma: 10.5101 
Avr_L: 22.6155    Avr_b: 5.9879   Avr_Chroma: 9.5020 
